,Search Engines,Rest of the Web,No Record,Unknown,Wikimedia,Wikipedia Link,Wikipedia Other
2021-07-01,3079018876,66824340,1436272303,149779,125543119,2255489317,65494170
2021-08-01,3053078620,69360537,1421374549,130745,126638318,2249276871,63354813
2021-09-01,2954325919,66275924,1317654573,193580,119765805,2045986483,57496100
2021-10-01,3018637196,68711456,1316391400,349130,121836833,2080902700,58488064
2021-11-01,2856159667,67904845,1254032762,336090,115326252,1921539436,52515893
2021-12-01,2889892092,73887395,1221352485,308022,113567410,1987205299,54634515
2022-01-01,3156583597,70278061,1348949088,346984,121815032,2275646017,61721142
2022-02-01,2934770371,70162205,1227443090,332831,111683366,2048214173,56036760
2022-03-01,3074944968,77774935,1300535129,359268,124046855,2189373663,62544447
2022-04-01,2865998271,72660614,1257467028,325171,115382153,2094780798,57395448
2022-05-01,2846415573,84530074,1297520977,381026,118045944,2123935387,61604807
2022-06-01,2693843393,81051632,1240796374,377475,109824430,2034498998,56210600
2022-07-01,2745882406,77044410,1333145721,430250,112880195,2154320626,57042102
2022-08-01,2860543586,75516971,1407490577,500902,113795007,2162692483,57484508
2022-09-01,2880744005,79406732,1535768060,487762,114562950,2195436043,56224491
2022-10-01,2905426061,70079299,1585415378,477289,118951822,2164206336,57962822
2022-11-01,2896163909,62522668,1623140936,486116,121269435,2161403815,56096273
2022-12-01,2937865488,70963720,1342700193,460469,116016178,2232539355,58973717
2023-01-01,3137988344,65788001,1526474995,478666,125509550,2434471681,62523098
2023-02-01,2733227617,52143642,1459756570,7746071,108556354,2061867232,51492130
2023-03-01,3162960649,50177033,1520025085,19640975,120214323,2317026039,57174223
2023-04-01,2978744703,41840892,1276583442,18816543,114438103,2223647950,52888234
2023-05-01,3284298564,45797342,1366672021,19555922,119089998,2312963461,57037640
2023-06-01,3123678912,47278396,1346446268,18718875,111638804,2240358441,54958766
